Year,Region,tree_cover_ha,
2020,Philippines,16727870.56,
2021,Philippines,16681139,
2022,Philippines,16598803.79,
2023,Philippines,16558031.49,
2024,Philippines,16501712.27,
2021,NCR,2922.458232,
2022,NCR,2916.650321,
2023,NCR,2916.426859,
2024,NCR,2911.582151,
2021,CAR,1238152.744,
2022,CAR,1235173.425,
2023,CAR,1231491.51,
2024,CAR,1228299.207,
2021,I - Ilocos Region,521404.7436,
2022,I - Ilocos Region,521143.2021,
2023,I - Ilocos Region,520842.7382,
2024,I - Ilocos Region,520408.3956,
2021,II - Cagayan Valley,1442217.251,
2022,II - Cagayan Valley,1439544.516,
2023,II - Cagayan Valley,1436066.163,
2024,II - Cagayan Valley,1433013.069,
2021,III - Central Luzon,885575.2803,
2022,III - Central Luzon,884581.1846,
2023,III - Central Luzon,883379.6673,
2024,III - Central Luzon,882041.6034,
2021,Region IV-A - CALABARZON,1030791.907,
2022,Region IV-A - CALABARZON,1029004.58,
2023,Region IV-A - CALABARZON,1027266.62,
2024,Region IV-A - CALABARZON,1024796.848,
2021,Region IV-B - MIMAROPA,1760029.694,
2022,Region IV-B - MIMAROPA,1725977.012,
2023,Region IV-B - MIMAROPA,1718625.776,
2024,Region IV-B - MIMAROPA,1704339.631,
2021,V - Bicol Region,1081192.24,
2022,V - Bicol Region,1080345.705,
2023,V - Bicol Region,1079390.463,
2024,V - Bicol Region,1078271.957,
2021,VI - Western Visayas,734946.0117,
2022,VI - Western Visayas,733405.1572,
2023,VI - Western Visayas,732678.0426,
2024,VI - Western Visayas,731465.0969,
2021,VII - Central Visayas,603186.3226,
2022,VII - Central Visayas,599428.2925,
2023,VII - Central Visayas,599065.7002,
2024,VII - Central Visayas,598348.6829,
2021,VIII - Eastern Visayas,1638847.777,
2022,VIII - Eastern Visayas,1632022.432,
2023,VIII - Eastern Visayas,1630201.565,
2024,VIII - Eastern Visayas,1627082.846,
2021,IX - Zamboanga Peninsula,847469.0879,
2022,IX - Zamboanga Peninsula,841639.9587,
2023,IX - Zamboanga Peninsula,838373.0495,
2024,IX - Zamboanga Peninsula,834926.0027,
2021,X - Northern Mindanao,1030947.776,
2022,X - Northern Mindanao,1029354.318,
2023,X - Northern Mindanao,1027674.273,
2024,X - Northern Mindanao,1025082.963,
2021,XI - Davao Region,993529.7387,
2022,XI - Davao Region,989415.2182,
2023,XI - Davao Region,984960.2552,
2024,XI - Davao Region,979834.4598,
2021,XII - SOCCSKSARGEN,643507.4277,
2022,XII - SOCCSKSARGEN,641551.145,
2023,XII - SOCCSKSARGEN,639665.2166,
2024,XII - SOCCSKSARGEN,636949.9036,
2021,XIII - Caraga Region,1436769.05,
2022,XIII - Caraga Region,1425724.868,
2023,XIII - Caraga Region,1420289.368,
2024,XIII - Caraga Region,1412176.71,
2021,BARMM,789649.4873,
2022,BARMM,787576.1294,
2023,BARMM,785144.6562,
2024,BARMM,781763.312,
